mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_1,passing,0.936050,1.000000,1.000000,1.000000,0.841463,0.835443,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_11,passing,0.750370,1.000000,0.842593,0.807229,0.674699,0.609756,0.594059,0.565657,0.565657,0.558559,0.659722,0.635036,1.000000,0.574194,0.621212,0.621212,0.621212,0.639706,0.639706,0.639706,0.639706,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_14,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_16,passing,0.603703,0.654206,0.472222,0.524390,0.463415,0.481013,0.387097,0.432099,0.432099,0.409091,0.446281,0.424779,1.000000,0.428571,0.447619,0.447619,0.447619,0.449541,0.449541,0.449541,0.449541,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_19,passing,0.927460,0.990741,0.990826,0.987952,0.831325,0.825000,0.861702,0.853659,0.853659,0.857143,0.895161,0.904348,1.000000,0.909091,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_21,passing,0.925165,0.962617,0.962963,0.975904,0.807229,0.822785,0.860215,0.851852,0.851852,0.875000,0.909091,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_22,passing,0.613149,0.682243,0.490741,0.548780,0.487805,0.493671,0.397849,0.444444,0.444444,0.420455,0.454545,0.433628,1.000000,0.436975,0.457143,0.457143,0.457143,0.458716,0.458716,0.458716,0.458716,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_25,passing,0.910993,0.962617,0.953704,0.939024,0.780488,0.759494,0.795699,0.777778,0.777778,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_27,passing,0.769598,0.953271,0.953704,0.939024,0.710843,0.696203,0.677419,0.506173,0.506173,0.534091,0.570248,0.628319,1.000000,0.647059,0.657143,0.657143,0.657143,0.678899,0.678899,0.678899,0.678899,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_28,passing,0.898170,1.000000,0.935185,0.914634,0.756098,0.772152,0.806452,0.827160,0.827160,0.829545,0.876033,0.876106,1.000000,0.882353,0.866667,0.866667,0.866667,0.862385,0.862385,0.862385,0.862385,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_29,passing,0.923200,0.946429,0.946429,0.963855,0.759036,0.787500,0.810526,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_30,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_32,passing,0.936050,1.000000,1.000000,1.000000,0.841463,0.835443,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_33,passing,0.832302,0.944444,0.944954,0.927711,0.702381,0.662500,0.642105,0.580247,0.580247,0.590909,0.636364,0.710526,1.000000,0.806723,0.841121,0.841121,0.841121,0.846847,0.846847,0.846847,0.846847,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
